cont1_mem,cont1_cpu,cont2_mem,cont2_cpu
23536,0.084912399,23752,0.084971246
23536,0.084912399,23752,0.084971246
23536,0.084912399,23752,0.084971246
23536,0.084912399,23752,0.084971246
23536,0.084912399,23752,0.084971246
23536,0.084912399,23752,0.084971246
23536,0.084912399,23752,0.084971246
23752,0.084971246,23536,0.084912399
23536,0.084912399,23752,0.084971246
23536,0.084912399,23752,0.084971246
23752,0.084971246,23536,0.084912399
23536,0.084912399,23752,0.084971246
23536,0.084912399,23752,0.084971246
23536,0.084912399,23752,0.084971246
23536,0.084912399,23752,0.084971246
23536,0.084912399,23752,0.084971246
23536,0.084912399,23752,0.084971246
23536,0.084912399,23752,0.084971246
23752,0.084971246,23536,0.084912399
23536,0.084912399,23752,0.084971246
23536,0.084912399,23752,0.084971246
23536,0.084912399,23752,0.084971246
23536,0.084912399,23752,0.084971246
23536,0.084912399,23752,0.084971246
23536,0.084912399,23752,0.084971246
